news_0	Texas Gov. Greg Abbott tours southern border	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'Texas', 'WikidataId': 'https://www.wikidata.org/wiki/Q1439'}, {'SurfaceForms': 'Greg Abbott', 'WikidataId': 'https://www.wikidata.org/wiki/Q5605224'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	border_said_biden_president	Neutral	right
news_1	Rep. McCarthy leads delegation of GOP reps. to southern border	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'McCarthy', 'WikidataId': 'https://www.wikidata.org/wiki/Q189197'}, {'SurfaceForms': 'GOP', 'WikidataId': 'https://www.wikidata.org/wiki/Q29468'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	border_crisis_biden_administration	Neutral	right
news_5	Suspected driver of truck with abandoned migrants arrested	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.		[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	migrants_antonio_san antonio_truck	Neutral	right
news_6	Largest migrant caravan from southern Mexico en route to border	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'Mexico', 'WikidataId': 'https://www.wikidata.org/wiki/Q96'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	caravan_migrants_mexico_tapachula	Neutral	right
news_10	Mila Kunis, Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'Mila Kunis', 'WikidataId': 'https://www.wikidata.org/wiki/Q37628'}, {'SurfaceForms': 'Ashton Kutcher', 'WikidataId': 'https://www.wikidata.org/wiki/Q164782'}, {'SurfaceForms': 'Ukraine', 'WikidataId': 'https://www.wikidata.org/wiki/Q212'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	ukraine_russian_said_ukrainian	Neutral	right
news_14	Mass migration puts strain on southern border	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.		[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	border_agents_migrants_patrol	Neutral	right
news_16	Biden immigration policies under scrutiny after migrant deaths in Texas	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'Biden', 'WikidataId': 'https://www.wikidata.org/wiki/Q6279'}, {'SurfaceForms': 'Texas', 'WikidataId': 'https://www.wikidata.org/wiki/Q1439'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	migrants_antonio_san antonio_truck	Neutral	right
news_18	DHS Secy. Mayorkas warns migrants not to travel to southern border	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'DHS Secy', 'WikidataId': 'https://www.wikidata.org/wiki/Q11231'}, {'SurfaceForms': 'Mayorkas', 'WikidataId': 'https://www.wikidata.org/wiki/Q4714600'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	mayorkas_border_dhs_security	Neutral	right
news_19	2nd bus from Texas drops off illegal immigrants in D.C.	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'Texas', 'WikidataId': 'https://www.wikidata.org/wiki/Q1439'}, {'SurfaceForms': 'D.C', 'WikidataId': 'https://www.wikidata.org/wiki/Q61'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	abbott_texas_border_migrants	Neutral	right
news_21	White House’s end to Title 42 to be argued in court as end date looms	Breaking News, Latest News and Current News from OANN.com. Breaking news and video. Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.	[{'SurfaceForms': 'White House', 'WikidataId': 'https://www.wikidata.org/wiki/Q35525'}, {'SurfaceForms': 'Title 42', 'WikidataId': 'https://www.wikidata.org/wiki/Q7810086'}]	[{'SurfaceForms': 'OANN', 'WikidataId': 'https://www.wikidata.org/wiki/Q20031402'}, {'SurfaceForms': 'U.S.', 'WikidataId': 'https://www.wikidata.org/wiki/Q30'}]	title_title 42_42_border	Neutral	right
